reader,dataset,retriever,track,n,errors,gold,poison,abstain,drift
qwen72b,hotpot_nq,e5ce,clean,2982,0,0.46680080482897385,0.004024144869215292,0.20355466130114017,0.3256203890006707
qwen72b,hotpot_nq,e5ce,attack,2982,0,0.3494299128101945,0.21026156941649898,0.14185110663983905,0.29845741113346747
qwen72b,hotpot_nq,e5ce,forced,2982,0,0.20757880617035546,0.27230046948356806,0.3165660630449363,0.20355466130114017
qwen72b,hotpot_nq,colbert,clean,2982,0,0.4352783366867874,0.004694835680751174,0.23172367538564723,0.3283031522468142
qwen72b,hotpot_nq,colbert,attack,2982,0,0.3299798792756539,0.2129443326626425,0.16063044936284374,0.2964453386988598
qwen72b,hotpot_nq,colbert,forced,2982,0,0.20724346076458752,0.272635814889336,0.3158953722334004,0.20422535211267606
qwen72b,trivia,e5ce,clean,1398,0,0.7017167381974249,0.000715307582260372,0.10944206008583691,0.18812589413447783
qwen72b,trivia,e5ce,attack,1398,0,0.5464949928469242,0.17954220314735336,0.060801144492131615,0.21316165951359084
qwen72b,trivia,e5ce,forced,1398,0,0.3090128755364807,0.3054363376251788,0.22889842632331903,0.15665236051502146
qwen72b,trivia,colbert,clean,1398,0,0.6738197424892703,0.000715307582260372,0.12088698140200287,0.20457796852646637
qwen72b,trivia,colbert,attack,1398,0,0.5329041487839771,0.1759656652360515,0.07010014306151645,0.22103004291845493
qwen72b,trivia,colbert,forced,1398,0,0.3090128755364807,0.3054363376251788,0.22889842632331903,0.15665236051502146
qwen72b,wiki2,e5ce,clean,2696,0,0.25,0.015578635014836795,0.5022255192878339,0.23219584569732937
qwen72b,wiki2,e5ce,attack,2696,0,0.18620178041543026,0.28375370919881304,0.3508902077151335,0.17915430267062316
qwen72b,wiki2,e5ce,forced,2696,0,0.103486646884273,0.2800445103857567,0.4899851632047478,0.12648367952522255
qwen72b,wiki2,colbert,clean,2696,0,0.22663204747774482,0.01112759643916914,0.5270771513353115,0.23516320474777447
qwen72b,wiki2,colbert,attack,2696,0,0.15652818991097922,0.27781899109792285,0.37611275964391694,0.18954005934718102
qwen72b,wiki2,colbert,forced,2696,0,0.103486646884273,0.2800445103857567,0.4899851632047478,0.12648367952522255
llama70b,hotpot_nq,e5ce,clean,2982,0,0.46378269617706236,0.00335345405767941,0.25486250838363517,0.2780013413816231
llama70b,hotpot_nq,e5ce,attack,2982,0,0.3195841716968478,0.2022132796780684,0.23541247484909456,0.24279007377598927
llama70b,hotpot_nq,e5ce,forced,2982,0,0.1448692152917505,0.23641851106639838,0.4704896042924212,0.1482226693494299
llama70b,hotpot_nq,colbert,clean,2982,0,0.4154929577464789,0.003688799463447351,0.30181086519114686,0.2790073775989269
llama70b,hotpot_nq,colbert,attack,2982,0,0.2887323943661972,0.20858484238765929,0.2578806170355466,0.24480214621059693
llama70b,hotpot_nq,colbert,forced,2982,0,0.1448692152917505,0.23708920187793428,0.46981891348088534,0.1482226693494299
llama70b,trivia,e5ce,clean,1398,0,0.6638054363376252,0.000715307582260372,0.1380543633762518,0.19742489270386265
llama70b,trivia,e5ce,attack,1398,0,0.47854077253218885,0.1659513590844063,0.1709585121602289,0.18454935622317598
llama70b,trivia,e5ce,forced,1398,0,0.18741058655221746,0.23104434907010013,0.4613733905579399,0.12017167381974249
llama70b,trivia,colbert,clean,1398,0,0.6437768240343348,0.000715307582260372,0.14949928469241774,0.20600858369098712
llama70b,trivia,colbert,attack,1398,0,0.4728183118741059,0.17668097281831188,0.1530758226037196,0.19742489270386265
llama70b,trivia,colbert,forced,1398,0,0.18741058655221746,0.23104434907010013,0.4613733905579399,0.12017167381974249
llama70b,wiki2,e5ce,clean,2696,0,0.2236646884272997,0.00556379821958457,0.6298219584569733,0.14094955489614244
llama70b,wiki2,e5ce,attack,2696,0,0.15615727002967358,0.23701780415430268,0.5089020771513353,0.09792284866468842
llama70b,wiki2,e5ce,forced,2696,0,0.0663946587537092,0.2206973293768546,0.6357566765578635,0.0771513353115727
llama70b,wiki2,colbert,clean,2696,0,0.17470326409495548,0.00556379821958457,0.6821216617210683,0.13761127596439168
llama70b,wiki2,colbert,attack,2696,0,0.11016320474777448,0.23887240356083086,0.5400593471810089,0.11090504451038576
llama70b,wiki2,colbert,forced,2696,0,0.0663946587537092,0.2206973293768546,0.6357566765578635,0.0771513353115727
gptoss120b,hotpot_nq,e5ce,clean,2982,5,0.448692152917505,0.002347417840375587,0.2702883970489604,0.27867203219315895
gptoss120b,hotpot_nq,e5ce,attack,2982,3,0.32796780684104626,0.19584171696847752,0.19282360831656606,0.28336686787391013
gptoss120b,hotpot_nq,e5ce,forced,2982,3,0.17572099262240107,0.3085177733065057,0.2964453386988598,0.2193158953722334
gptoss120b,hotpot_nq,colbert,clean,2982,2,0.40979208584842386,0.002347417840375587,0.29745137491616364,0.2904091213950369
gptoss120b,hotpot_nq,colbert,attack,2982,6,0.2964453386988598,0.2069081153588196,0.22065727699530516,0.2759892689470154
gptoss120b,hotpot_nq,colbert,forced,2982,5,0.17370892018779344,0.30818242790073774,0.2947686116700201,0.22334004024144868
gptoss120b,trivia,e5ce,clean,1398,15,0.29113018597997137,0.000715307582260372,0.28898426323319026,0.41917024320457796
gptoss120b,trivia,e5ce,attack,1398,22,0.20386266094420602,0.056509298998569386,0.19957081545064378,0.5400572246065808
gptoss120b,trivia,e5ce,forced,1398,18,0.06151645207439199,0.16523605150214593,0.2732474964234621,0.5
gptoss120b,trivia,colbert,clean,1398,16,0.2875536480686695,0.000715307582260372,0.2918454935622318,0.4198855507868383
gptoss120b,trivia,colbert,attack,1398,13,0.20028612303290416,0.059370529327610874,0.19742489270386265,0.5429184549356223
gptoss120b,trivia,colbert,forced,1398,18,0.06151645207439199,0.1659513590844063,0.2732474964234621,0.49928469241773965
gptoss120b,wiki2,e5ce,clean,2696,10,0.04599406528189911,0.0025964391691394658,0.7129080118694362,0.23850148367952523
gptoss120b,wiki2,e5ce,attack,2696,12,0.03449554896142433,0.0830860534124629,0.6546735905044511,0.22774480712166173
gptoss120b,wiki2,e5ce,forced,2696,26,0.015578635014836795,0.09977744807121662,0.7143916913946587,0.17025222551928784
gptoss120b,wiki2,colbert,clean,2696,12,0.040059347181008904,0.0025964391691394658,0.7403560830860534,0.21698813056379823
gptoss120b,wiki2,colbert,attack,2696,20,0.026335311572700297,0.07752225519287834,0.6735905044510386,0.22255192878338279
gptoss120b,wiki2,colbert,forced,2696,26,0.015578635014836795,0.09977744807121662,0.7143916913946587,0.17025222551928784
gpt4omini,hotpot_nq,e5ce,clean,2982,0,0.41851106639839036,0.001676727028839705,0.32964453386988596,0.250167672702884
gpt4omini,hotpot_nq,e5ce,attack,2982,0,0.2733065057008719,0.2619047619047619,0.21495640509725017,0.24983232729711602
gpt4omini,hotpot_nq,e5ce,forced,2982,0,0.15325285043594902,0.29074446680080485,0.37256874580818244,0.18343393695506371
gpt4omini,hotpot_nq,colbert,clean,2982,0,0.3789403085177733,0.002012072434607646,0.37759892689470154,0.2414486921529175
gpt4omini,hotpot_nq,colbert,attack,2982,271,0.22401073105298458,0.23775989268947015,0.3071763916834339,0.23105298457411133
gpt4omini,hotpot_nq,colbert,forced,2982,138,0.1391683433936955,0.28437290409121396,0.4044265593561368,0.1720321931589537
gpt4omini,trivia,e5ce,clean,1398,0,0.6666666666666666,0.0,0.1473533619456366,0.1859799713876967
gpt4omini,trivia,e5ce,attack,1398,50,0.3898426323319027,0.2825464949928469,0.1430615164520744,0.18454935622317598
gpt4omini,trivia,e5ce,forced,1398,464,0.11087267525035766,0.2732474964234621,0.5121602288984263,0.10371959942775394
gpt4omini,trivia,colbert,clean,1398,237,0.5472103004291845,0.000715307582260372,0.3032904148783977,0.14878397711015737
gpt4omini,trivia,colbert,attack,1398,24,0.3748211731044349,0.30257510729613735,0.11874105865522175,0.20386266094420602
gpt4omini,wiki2,e5ce,clean,2696,891,0.10905044510385757,0.001112759643916914,0.7926557863501483,0.09718100890207715
gpt4omini,wiki2,e5ce,attack,2696,429,0.11053412462908012,0.22551928783382788,0.5537833827893175,0.11016320474777448
gpt4omini,wiki2,colbert,clean,2696,94,0.12722551928783382,0.0025964391691394658,0.7477744807121661,0.12240356083086053
gpt4omini,wiki2,colbert,attack,2696,802,0.06787833827893175,0.18694362017804153,0.6476261127596439,0.09755192878338279
qwen7b,hotpot_nq,e5ce,clean,2982,0,0.30617035546613014,0.002347417840375587,0.42689470154258885,0.26458752515090544
qwen7b,hotpot_nq,e5ce,attack,2982,0,0.21428571428571427,0.16230717639168343,0.36653252850435947,0.25687458081824277
qwen7b,hotpot_nq,e5ce,forced,2982,0,0.12206572769953052,0.17538564721663313,0.5087189805499664,0.1938296445338699
qwen7b,hotpot_nq,colbert,clean,2982,0,0.2790073775989269,0.00335345405767941,0.4584171696847753,0.2592219986586184
qwen7b,hotpot_nq,colbert,attack,2982,0,0.1938296445338699,0.16700201207243462,0.3853118712273642,0.25385647216633134
qwen7b,hotpot_nq,colbert,forced,2982,0,0.11971830985915492,0.17773306505700873,0.5080482897384306,0.19450033534540576
qwen7b,trivia,e5ce,clean,1398,0,0.18097281831187412,0.000715307582260372,0.6115879828326181,0.2067238912732475
qwen7b,trivia,e5ce,attack,1398,0,0.11731044349070101,0.11158798283261803,0.5600858369098712,0.21101573676680974
qwen7b,trivia,e5ce,forced,1398,0,0.034334763948497854,0.11731044349070101,0.7238912732474965,0.12446351931330472
qwen7b,trivia,colbert,clean,1398,0,0.1680972818311874,0.0,0.6366237482117311,0.19527896995708155
qwen7b,trivia,colbert,attack,1398,0,0.11516452074391989,0.12804005722460657,0.5565092989985694,0.20028612303290416
qwen7b,trivia,colbert,forced,1398,0,0.034334763948497854,0.11802575107296137,0.723175965665236,0.12446351931330472
qwen7b,wiki2,e5ce,clean,2696,0,0.08864985163204747,0.0025964391691394658,0.7596439169139466,0.14910979228486648
qwen7b,wiki2,e5ce,attack,2696,0,0.09421364985163205,0.0830860534124629,0.6928783382789317,0.1298219584569733
qwen7b,wiki2,e5ce,forced,2696,0,0.06862017804154302,0.057863501483679525,0.7911721068249258,0.08234421364985163
qwen7b,wiki2,colbert,clean,2696,0,0.07344213649851632,0.001483679525222552,0.7848664688427299,0.14020771513353117
qwen7b,wiki2,colbert,attack,2696,0,0.07455489614243324,0.07974777448071217,0.7255192878338279,0.1201780415430267
qwen7b,wiki2,colbert,forced,2696,0,0.06862017804154302,0.05749258160237389,0.7922848664688428,0.08160237388724036
